MW,LogP,HBA,HBD,RotBonds,AroRings,TPSA,HeavyAtoms,Heteroatoms
395.5030000000002,1.968439999999999,4,3,5,2,95.66000000000001,29,6
492.5470000000003,3.7316400000000014,5,3,6,3,113.09,36,8
354.4060000000001,1.9654399999999999,4,4,4,2,98.66000000000001,26,6
472.58900000000017,3.654040000000002,4,4,6,3,107.69,35,7
556.2510000000003,3.450540000000002,5,3,5,2,113.09000000000002,31,9
396.4870000000002,2.39544,5,2,5,2,92.86,29,6
394.51900000000023,2.41911,4,4,5,2,102.44000000000001,29,6
542.2240000000002,3.147540000000001,5,4,4,2,124.09000000000002,30,9
353.4660000000001,1.7910399999999997,4,3,4,2,92.58,26,5
484.55200000000025,4.330140000000002,5,3,5,4,117.00000000000001,36,7
556.2510000000003,3.450540000000002,5,3,5,2,113.09000000000002,31,9
338.4510000000001,2.852240000000001,3,2,3,2,66.56,25,4
444.5310000000002,3.583940000000002,4,3,5,3,103.86,33,6
462.5210000000002,3.723040000000002,4,3,5,3,103.86,34,7
444.5750000000002,4.049140000000003,4,2,7,3,75.79,33,5
443.5910000000002,3.6221400000000017,4,3,7,3,78.59,33,5
368.4770000000001,2.478740000000001,4,2,5,2,75.79,27,5
452.5990000000002,2.930040000000001,4,4,5,2,107.69,33,7
504.5830000000003,3.601140000000002,6,3,7,3,122.32000000000001,37,8
530.7130000000002,4.100340000000002,4,4,6,2,107.69,39,7
1339.6190000000006,-4.803300000000018,18,18,27,2,558.9599999999999,93,35
1356.6500000000008,-5.568999999999996,19,20,35,2,593.7699999999999,94,36
1603.986000000001,-3.6379899999999727,20,25,54,2,661.6999999999999,114,39
1313.6210000000005,-3.576500000000024,18,18,33,2,529.3699999999999,91,33
1297.5780000000004,-4.116400000000021,18,17,30,2,520.5799999999998,90,33
1347.6839999999997,-4.537599999999992,17,19,45,2,573.6999999999998,96,33
1319.6700000000005,-3.462200000000001,17,18,45,2,535.3199999999999,94,31
1566.9270000000004,-5.0470999999999755,21,21,39,2,643.18,109,40
1566.9270000000008,-5.047099999999988,21,21,33,2,643.18,109,40
1347.6840000000007,-4.537599999999989,17,19,45,2,573.6999999999999,96,33
1347.6840000000007,-4.537599999999996,17,19,45,2,573.6999999999998,96,33
1362.699000000001,-5.454699999999983,18,20,47,2,599.7199999999999,97,34
1337.6030000000005,-4.9658000000000175,18,17,24,2,550.17,93,35
1309.5930000000005,-4.897400000000012,17,17,27,2,538.7299999999999,91,34
1347.6840000000007,-4.537599999999989,17,19,45,2,573.6999999999999,96,33
1581.942000000001,-5.964199999999963,22,22,43,2,669.1999999999999,110,41
