canonical_smiles,molecule_chembl_id,pchembl_value,standard_units,standard_value,units,value,Potency
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.O=S(=O)(O)O,CHEMBL2096625,6.62,nM,242.0,nM,242.0,Active
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,CHEMBL596,6.37,nM,431.0,nM,431.0,Active
Cc1ncc([N+](=O)[O-])n1CCNC(=O)N1CCC(c2cc(-c3ccc(Cl)cc3Cl)[nH]n2)CC1,CHEMBL419214,5.15,nM,7130.0,nM,7130.0,Active
CNC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3cc4c(cc3Cl)OCO4)CC2)C1=O,CHEMBL115222,7.94,nM,11.4,nM,11.4,Active
O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3nsnc3c1)CC2,CHEMBL325750,5.38,nM,4120.0,nM,4120.0,Active
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5.Cl,CHEMBL2368861,9.05,nM,0.9,nM,0.9,Active
Oc1nc2ccccc2n1C1CCN(Cc2cc3c(cc2Cl)OCO3)CC1,CHEMBL114379,7.43,nM,37.4,nM,37.4,Active
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,CHEMBL651,5.96,nM,1090.0,nM,1090.0,Active
COc1ccc(CN2CCC(n3c(O)nc4ccccc43)CC2)c(Cl)c1,CHEMBL112191,5.85,nM,1410.0,nM,1410.0,Active
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,CHEMBL895,6.45,nM,353.0,nM,353.0,Active
Cc1ccc2nc(O)n(C3CCN(C(=O)OCc4cc5c(cc4Cl)OCO5)CC3)c2c1,CHEMBL326320,5.25,nM,5640.0,nM,5640.0,Active
O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3c(c1)OCO3)CC2,CHEMBL326962,5.92,nM,1190.0,nM,1190.0,Active
